seed,clean,notransfer,random,full,Y_before,Y_after,joint_X,joint_Y,forget_X,forget_Y,admit,deny,r1,r2,r4,r8,r16
0,1.000000,0.000000,0.000000,0.600000,1.000000,0.800000,0.800000,0.800000,0.200000,0.200000,0.600000,0.000000,0.000000,0.000000,0.000000,0.400000,0.600000
1,1.000000,0.200000,0.000000,0.400000,1.000000,0.400000,0.800000,0.800000,0.200000,0.200000,0.400000,0.200000,0.200000,0.200000,0.200000,0.200000,0.400000
2,1.000000,0.000000,0.000000,0.600000,1.000000,1.000000,0.600000,1.000000,0.000000,0.800000,0.600000,0.000000,0.000000,0.000000,0.200000,0.400000,0.600000
3,1.000000,0.000000,0.000000,0.400000,1.000000,0.800000,0.400000,0.800000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.200000,0.200000,0.400000
4,1.000000,0.000000,0.000000,0.400000,1.000000,0.800000,0.400000,0.800000,0.200000,0.200000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000
5,1.000000,0.200000,0.000000,0.800000,1.000000,0.800000,0.800000,0.800000,0.000000,0.400000,0.800000,0.200000,0.200000,0.200000,0.200000,0.600000,0.800000
6,1.000000,0.000000,0.000000,0.600000,1.000000,0.600000,0.400000,1.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.200000,0.400000
7,1.000000,0.200000,0.000000,0.600000,1.000000,1.000000,0.600000,1.000000,0.200000,0.200000,0.600000,0.200000,0.200000,0.200000,0.200000,0.400000,0.600000
8,1.000000,0.000000,0.000000,0.600000,1.000000,0.800000,0.600000,0.800000,0.000000,0.200000,0.600000,0.000000,0.000000,0.000000,0.200000,0.200000,0.400000
9,1.000000,0.200000,0.000000,0.600000,1.000000,1.000000,0.600000,1.000000,0.000000,0.200000,0.600000,0.200000,0.200000,0.200000,0.400000,0.400000,0.600000
10,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.600000,0.800000,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,1.000000,0.200000,0.000000,0.800000,1.000000,0.800000,0.600000,1.000000,0.000000,0.200000,0.800000,0.200000,0.200000,0.200000,0.200000,0.600000,0.800000
12,1.000000,0.200000,0.200000,0.600000,1.000000,0.600000,0.600000,0.800000,0.200000,0.400000,0.600000,0.200000,0.200000,0.200000,0.200000,0.400000,0.600000
13,1.000000,0.000000,0.000000,0.800000,1.000000,0.600000,0.400000,1.000000,0.000000,0.200000,0.800000,0.000000,0.000000,0.000000,0.200000,0.200000,0.600000
14,1.000000,0.200000,0.000000,0.600000,1.000000,0.600000,0.200000,1.000000,0.000000,0.400000,0.600000,0.200000,0.200000,0.200000,0.200000,0.200000,0.400000
15,1.000000,0.000000,0.000000,0.800000,1.000000,0.600000,0.600000,1.000000,0.000000,0.200000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000
16,1.000000,0.000000,0.000000,0.800000,1.000000,0.400000,0.600000,0.800000,0.200000,0.400000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000
17,1.000000,0.000000,0.000000,0.800000,1.000000,0.600000,0.400000,1.000000,0.000000,0.200000,0.800000,0.000000,0.000000,0.000000,0.200000,0.600000,0.800000
18,1.000000,0.000000,0.000000,0.600000,1.000000,0.400000,0.400000,0.600000,0.200000,0.200000,0.600000,0.000000,0.000000,0.000000,0.200000,0.200000,0.600000
19,1.000000,0.000000,0.000000,0.800000,1.000000,0.600000,0.600000,0.800000,0.000000,0.400000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000
