model: /home/jac/models/rwkv7-1.5B-g1   (chance ~ 1/26 = 0.038)

# Caesar shift, held-out generalization. cols: held-out acc | wrong-rule acc
  sep='>' reps=1 k=1 :  held=0.80  wrong=0.12
  sep='>' reps=1 k=2 :  held=0.13  wrong=0.03
  sep='>' reps=1 k=3 :  held=0.02  wrong=0.05
  sep='>' reps=1 k=5 :  held=0.08  wrong=0.02
  sep='>' reps=3 k=1 :  held=0.93  wrong=0.18
  sep='>' reps=3 k=2 :  held=0.15  wrong=0.07
  sep='>' reps=3 k=3 :  held=0.13  wrong=0.07
  sep='>' reps=3 k=5 :  held=0.08  wrong=0.05
  sep='>' reps=6 k=1 :  held=0.92  wrong=0.15
  sep='>' reps=6 k=2 :  held=0.10  wrong=0.03
  sep='>' reps=6 k=3 :  held=0.08  wrong=0.03
  sep='>' reps=6 k=5 :  held=0.07  wrong=0.08
  sep='=' reps=1 k=1 :  held=0.68  wrong=0.07
  sep='=' reps=1 k=2 :  held=0.05  wrong=0.05
  sep='=' reps=1 k=3 :  held=0.05  wrong=0.02
  sep='=' reps=1 k=5 :  held=0.08  wrong=0.02
  sep='=' reps=3 k=1 :  held=0.88  wrong=0.15
  sep='=' reps=3 k=2 :  held=0.17  wrong=0.08
  sep='=' reps=3 k=3 :  held=0.10  wrong=0.08
  sep='=' reps=3 k=5 :  held=0.02  wrong=0.00
  sep='=' reps=6 k=1 :  held=0.90  wrong=0.15
  sep='=' reps=6 k=2 :  held=0.10  wrong=0.07
  sep='=' reps=6 k=3 :  held=0.07  wrong=0.07
  sep='=' reps=6 k=5 :  held=0.02  wrong=0.03
model: /home/jac/models/rwkv7-1.5B-g1   (chance=0.5 for 2-class; held vs wrong-label)
# vowel/consonant
  sep='=' reps=1 :  held=0.74  wrong-label=0.26
  sep='=' reps=3 :  held=0.76  wrong-label=0.22
  sep='>' reps=1 :  held=0.74  wrong-label=0.27
  sep='>' reps=3 :  held=0.78  wrong-label=0.20
# first/second half
  sep='=' reps=1 :  held=0.42  wrong-label=0.60
  sep='=' reps=3 :  held=0.49  wrong-label=0.55
  sep='>' reps=1 :  held=0.53  wrong-label=0.55
  sep='>' reps=3 :  held=0.51  wrong-label=0.45
